tt,gcx,gcy,gcz,roll,pitch,yaw,lx,ly,lz,rx,ry,rz,arm_up,arm_low
500,0,0.936702753,220,0,0,0,0,57.5,0,0,-57.5,0,0,-48
500,15,24.92363259,215,0,0,-0.157,0,57.5,0,-0.5,-57.5,0.056067955,0,-48
500,15,40.31708795,215,0,0,-0.314,0,57.5,0,-5,-57.5,9.775055474,0,-48
500,15,48.87426737,215,0,0.157,-0.5,0,57.5,0,-50,-57.5,40,0,-48
500,15,48.87426737,215,0,0.314,-0.5,0,57.5,0,-80,-57.5,90,0,-48
100,15,51.61581335,215,0,-0.314,-0.5,0,57.5,0,150,-57.5,100,0,-48
150,15,48.87426737,215,0,0,-0.5,0,57.5,0,0,-57.5,50,0,-48
500,15,40.31708795,215,0,0,-0.314,0,57.5,0,0,-57.5,40,0,-48
500,10,24.92363259,215,0,0,-0.104666667,0,57.5,0,0,-57.5,30,0,-48
500,0,0.936702753,215,0,0,0,0,57.5,0,0,-57.5,0,0,-48
